ident,iata_code,name,type,latitude_deg,longitude_deg,elevation_ft
VT36,,MCHV Heliport,heliport,44.4734,-73.18875,345.0
VT37,,Windsor Armory Heliport,heliport,43.47090148925781,-72.40370178222656,400.0
VT38,,Greenwoods Airfield,small_airport,45.008584,-73.240966,179.0
VT39,,Taylor Airport,small_airport,44.60760116577149,-72.48040008544922,1140.0
VT40,,Wenlock Crossing Heliport,heliport,44.777000427246094,-71.75150299072266,1157.0
VT42,,Two Tails Airport,small_airport,44.51259994506836,-72.60710144042969,754.0
VT43,,Onyon Airport,small_airport,43.01919937133789,-72.65290069580078,427.0
VT44,,Perras Field,small_airport,44.52669906616211,-72.58149719238281,820.0
VT45,,Davis Private Airport,small_airport,44.51729965209961,-72.97930145263672,640.0
VT46,,Northern Lights Airport,small_airport,44.872002,-73.286499,130.0
VT47,,Miller Farm Airfield,small_airport,42.778599,-72.527802,285.0
VT50,,Enosburg Falls Armory Heliport,heliport,44.91389846801758,-72.80509948730469,410.0
VT51,,Ibm Heliport,heliport,44.4817008972168,-73.09649658203125,385.0
VT52,,Shaw Meadow Airport,small_airport,44.64339828491211,-73.1875991821289,230.0
VT53,,Bailey Airport,small_airport,44.117795,-73.377546,140.0
VT55,,Brandon Airport,small_airport,43.90119934082031,-72.58290100097656,710.0
VT56,,West Burke Aerodrome,small_airport,44.61309814453125,-71.98090362548828,1285.0
VT57,,Malletts Head Seaplane Base,seaplane_base,44.56060028076172,-73.24040222167969,95.0
VT58,,Stave Island Seaplane Base,seaplane_base,44.59590148925781,-73.34760284423828,95.0
VT59,,Ardell Flying Field,small_airport,43.27780151367188,-72.91079711914062,1919.0
VT60,,Hulett Landing Strip,small_airport,43.3301010131836,-73.24259948730469,720.0
VT61,,Rutland Regional Medical Center Heliport,heliport,43.59809875488281,-72.95500183105469,650.0
VT62,,Catamount Airfield,small_airport,44.39039993286133,-72.35060119628906,1350.0
VT63,,Douglas Field,small_airport,44.99530029296875,-72.37899780273438,650.0
VT64,,Mountain View Farm Airport,small_airport,44.51530075073242,-72.64119720458984,1200.0
VT67,,Central Vermont Medical Center Heliport,heliport,44.219369,-72.560408,960.0
VT70,,North Country Hospital Heliport,heliport,44.95640182495117,-72.19950103759766,720.0
VT72,,Villeneuve Field,small_airport,44.515682,-72.95452,668.0
VT73,,Melrose Springs Airfield,small_airport,43.944861,-73.316833,300.0
